sample_name,material,lab,moisture_pct,dry_matter_pct,crude_protein_pct,adf_pct,ndf_pct,relative_feed_value,total_digestible_nutrients,nem_adf,neg_adf,nel_adf
LMP-101,ibf_stems_leaves,ward,7.61,92.39,16.1,31.9,46.3,129,58.4,56.98,31.18,66.02
LMP-111,ibf_stems_leaves,ward,8.19,91.81,15.8,38.1,55,100,53.8,49.84,24.61,58.69
LMP-117,ibf_stems_leaves,ward,8.06,91.94,11.7,37,51.3,109,54.6,51.08,25.76,59.95
LMP-121,ibf_stems_leaves,ward,8.42,91.58,11.7,33.2,46.5,126,57.4,55.48,29.81,64.46
LMP-124,ibf_stems_leaves,ward,8.09,91.91,13.9,31.7,46.4,129,58.5,57.2,31.38,66.25
LMP-127,ibf_stems_leaves,ward,7.94,92.06,13.9,35.1,49.3,116,56,53.33,27.83,62.24
LMP-137,ibf_stems_leaves,ward,7.84,92.16,13.3,36.1,49.5,114,55.2,52.14,26.73,61.02
LMP-140,ibf_stems_leaves,ward,8.04,91.96,10.8,35.5,49.5,115,55.7,52.83,27.37,61.73
LMP-152,ibf_stems_leaves,ward,7.77,92.23,10.8,35.8,49.8,114,55.5,52.53,27.1,61.43
LMP-158,ibf_stems_leaves,ward,7.93,92.07,10.5,38.5,52,105,53.5,49.37,24.17,58.21
LMP-177,ibf_stems_leaves,ward,7.82,92.18,13.7,35.4,49.5,115,55.8,53.01,27.54,61.92
LMP-178,ibf_stems_leaves,ward,7.83,92.17,13.4,36.1,49.6,114,55.2,52.12,26.71,61
LMP-179,ibf_stems_leaves,ward,8.29,91.71,12.1,35,47.6,120,56,53.38,27.87,62.29
LMP-219,ibf_stems_leaves,ward,7.52,92.48,8.7,44.2,59.3,85,49.2,42.57,17.84,51.42
LMP-239,ibf_stems_leaves,ward,7.33,92.67,12.5,32.8,45.4,130,57.7,55.94,30.23,64.94
LMP-254,ibf_stems_leaves,ward,7.74,92.26,13.9,31.1,43.8,137,59,57.91,32.02,66.99
LMP-264,ibf_stems_leaves,ward,8,92,13.7,36.3,51,111,55.1,51.87,26.48,60.75
LMP-272,ibf_stems_leaves,ward,8.4,91.6,16.8,30.8,43.4,139,59.2,58.22,32.31,67.31
LMP-279,ibf_stems_leaves,ward,7.54,92.46,13.2,38.7,51.8,106,53.3,49.16,23.97,57.99
LMP-280,ibf_stems_leaves,ward,7.98,92.02,12.4,37,51.9,108,54.6,51.14,25.81,60.01
LMP-304,ibf_stems_leaves,ward,3.27,96.73,15.5,33.3,49.4,119,57.4,55.4,29.74,64.39
LMP-308,ibf_stems_leaves,ward,3.4,96.6,12.9,34.2,48.4,120,56.7,54.32,28.74,63.27
LMP-312,ibf_stems_leaves,ward,3.59,96.41,14.2,33.4,47.2,124,57.3,55.32,29.66,64.3
LMP-318,ibf_stems_leaves,ward,3.81,96.19,14,30.1,43.6,140,59.8,59.1,33.12,68.24
LMP-337,ibf_stems_leaves,ward,3.75,96.25,15.3,31.1,45.9,131,59,57.89,32.01,66.97
LMP-341,ibf_stems_leaves,ward,3.76,96.24,12,26,36.6,174,62.8,63.62,37.21,73.01
LMP-343,ibf_stems_leaves,ward,3.65,96.35,11.8,30.6,42.4,143,59.4,58.49,32.55,67.59
LMP-351,ibf_stems_leaves,ward,3.66,96.34,15.2,31.4,45.6,131,58.8,57.55,31.7,66.61
LMP-355,ibf_stems_leaves,ward,3.26,96.74,11.7,36.2,51.6,109,55.1,51.99,26.59,60.87
LMP-359,ibf_stems_leaves,ward,3.5,96.5,13.6,32.5,45.5,130,58,56.31,30.57,65.33
LMP-367,ibf_stems_leaves,ward,3.68,96.32,13.7,32.1,45.5,131,58.3,56.79,31,65.82
LMP-378,ibf_stems_leaves,ward,3.41,96.59,13.6,34.8,50.1,115,56.2,53.69,28.16,62.62
LMP-402,ibf_stems_leaves,ward,3.7,96.3,12.2,31.1,43.7,138,59,57.95,32.07,67.03
LMP-411,ibf_stems_leaves,ward,3.88,96.12,14.4,31.2,44.9,134,58.9,57.77,31.9,66.84
LMP-431,ibf_stems_leaves,ward,8.57,91.43,20,24.4,39.6,164,64.1,65.48,38.89,75.01
LMP-432,ibf_stems_leaves,ward,3.6,96.4,12.5,33.1,46.5,126,57.5,55.63,29.94,64.62
LMP-444,ibf_stems_leaves,ward,3.67,96.33,10.6,31.8,44.7,133,58.5,57.09,31.28,66.13
LMP-448,ibf_stems_leaves,ward,3.52,96.48,13,33.6,45.9,127,57.1,55.03,29.39,64
LMP-452,ibf_stems_leaves,ward,3.68,96.32,13.9,29.9,42.3,144,59.9,59.24,33.24,68.38
LMP-460,ibf_stems_leaves,ward,3.74,96.26,15.9,32.1,47.2,126,58.3,56.81,31.02,65.84
LMP-479,ibf_stems_leaves,dairyland,9.87,90.13,14.2,41.7,48.06,109.34,56.42,56.07,30.34,57.45
LMP-246,ibf_stems_leaves,dairyland,10.85,89.15,16.04,35.21,39.53,144.86,61.47,60.83,34.69,63.08
LMP-256,ibf_stems_leaves,dairyland,10.84,89.16,12.34,40.78,44.4,119.57,57.13,57.13,31.31,58.24
LMP-150,ibf_stems_leaves,dairyland,10.76,89.24,11.43,43.87,49.74,102.25,54.73,54.27,28.7,55.57
LMP-225,ibf_stems_leaves,dairyland,10.91,89.09,14.14,39.78,44.34,121.66,57.91,57.81,31.94,59.11
LMP-445,ibf_stems_leaves,dairyland,10.85,89.15,11.33,44.15,48.13,105.22,54.51,54.99,29.36,55.32
LMP-435,ibf_stems_leaves,dairyland,10.62,89.38,15.33,36.87,43.23,129.69,60.18,58.78,32.82,61.64
LMP-480,ibf_stems_leaves,dairyland,10.75,89.25,12.89,43.68,46.96,108.89,54.87,56.13,30.4,55.73
LMP-113,ibf_stems_leaves,dairyland,9.93,90.07,17.43,37.46,48.36,114.81,59.72,57.11,31.3,61.13
LMP-331,ibf_stems_leaves,dairyland,10.4,89.6,14.29,45.98,49.55,99.58,53.08,55.42,29.75,53.73
LMP-449,ibf_stems_leaves,dairyland,10.39,89.61,13.61,43.4,46.71,109.75,55.09,56.49,30.73,55.97
LMP-132,ibf_stems_leaves,dairyland,10.51,89.49,14.86,39.07,43.58,124.62,58.46,58.44,32.51,59.72
LMP-148,ibf_stems_leaves,dairyland,10.97,89.03,14.26,42.79,NA,NA,55.57,NA,NA,56.5
LMP-106,ibf_stems_leaves,dairyland,11.15,88.85,13.17,40.86,43.74,121.22,57.07,57.75,31.89,58.18
LMP-339,ibf_stems_leaves,dairyland,10.45,89.55,13.62,42.46,47.17,109.91,55.82,56.28,30.54,56.78
LMP-170,ibf_stems_leaves,dairyland,10.17,89.83,18.15,38.91,45.88,119,58.59,58.54,32.6,59.87
LMP-320,ibf_stems_leaves,dairyland,10.74,89.26,16.02,36.13,40.78,138.45,60.75,60.21,34.12,62.28
LMP-425,ibf_stems_leaves,dairyland,11.03,88.97,11.12,43.16,46.98,109.27,55.28,55.46,29.78,56.18
LMP-463,ibf_stems_leaves,dairyland,11.69,88.31,15.4,37.03,39.54,141.05,60.05,60.58,34.46,61.5
LMP-310,ibf_stems_leaves,dairyland,10.78,89.22,15.13,36.93,41.58,134.71,60.13,59.5,33.48,61.58
LMP-364,ibf_stems_leaves,dairyland,11.5,88.5,12.54,35.03,41.54,138.03,61.61,58.58,32.64,63.23
LMP-362,ibf_stems_leaves,dairyland,10.96,89.04,12.13,40.16,46.63,114.79,57.62,55.99,30.27,58.79
LMP-404,ibf_stems_leaves,dairyland,11.33,88.67,13.42,36.93,43.44,128.65,60.13,57.98,32.09,61.58
LMP-266,ibf_stems_leaves,dairyland,9.62,90.38,13.87,37.84,42.03,131.74,59.42,58.83,32.87,60.79
LMP-154,ibf_stems_leaves,dairyland,9.37,90.63,16.33,39.42,46.77,115.93,58.19,57.46,31.61,59.42
LMP-328,ibf_stems_leaves,dairyland,9.45,90.55,14.98,36.65,43.68,128.65,60.35,58.44,32.51,61.83
LMP-477,ibf_stems_leaves,dairyland,8.77,91.23,12.53,46.18,53.95,91.09,52.93,52.72,27.27,53.56
LMP-162,ibf_stems_leaves,dairyland,9.34,90.66,11.82,52.39,58.61,76.42,48.09,50.33,25.06,48.17
LMP-175,ibf_stems_leaves,dairyland,9.61,90.39,14.78,38.5,45.27,121.02,58.91,57.61,31.76,60.23
LMP-370,ibf_stems_leaves,dairyland,9.9,90.1,14.78,39.48,46,117.65,58.15,57.27,31.44,59.38
LMP-168,ibf_stems_leaves,dairyland,9.2,90.8,13.7,42.02,48.61,107.55,56.17,55.63,29.94,57.17
LMP-107,ibf_stems_leaves,dairyland,9.49,90.51,14.39,42.21,45.8,113.78,56.02,57.22,31.4,57.01
LMP-231,ibf_stems_leaves,dairyland,9.76,90.24,15.04,47.66,53.41,90.3,51.77,53.9,28.35,52.27
LMP-159,ibf_stems_leaves,dairyland,9.05,90.95,14.92,43.49,50.09,102.36,55.02,55.39,29.72,55.89
LMP-153,ibf_stems_leaves,dairyland,9.5,90.5,13.13,42.06,46.78,111.84,56.14,56.29,30.54,57.14
