Forage Trait,Forage Size,Num. Components,Test RMSE,Train RMSE
NEL,10mm,1,3.27305097537845,3.03131676470815
NEG,10mm,2,1.9257162036378,1.72426058541804
NEM,10mm,2,2.09460871143236,1.87718835678591
TDN,10mm,3,1.54444991837818,1.31509921009155
RFV,10mm,2,10.5432192285545,8.07983468821116
NDF,10mm,2,2.97450447940038,2.22380714357067
ADF,10mm,1,3.85166193794478,3.65956166566155
Crude Protein,10mm,3,1.95660974191641,0.906551193054079
Dry Matter Content,10mm,1,2.73896320833485,2.63663845448013
Moisture Content,10mm,1,2.73896320833485,2.63663845448013
NEL,1mm,4,3.93748862805622,3.05021098930605
NEG,1mm,2,2.89643460338207,2.24600384879477
NEM,1mm,2,3.14160388357882,2.43948973114381
TDN,1mm,4,1.84755225232266,1.55866454105518
RFV,1mm,5,11.2934596557314,8.49115805123891
NDF,1mm,5,2.88855443727365,2.17448350058984
ADF,1mm,2,4.74410713522065,4.02861117956458
Crude Protein,1mm,2,1.15925404390383,1.05332678130456
Dry Matter Content,1mm,1,2.99748756656627,2.55749212121334
Moisture Content,1mm,1,2.99748756656627,2.55749212121333
